artist,song,song_name_len,duration_ms,explicit,year,popularity,hot,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,pop,rock,hiphop,dance,folk,rnb,latin
Jason Derulo,In My Head,10,199026,FALSE,2010,65,0,0.762,0.748,0,-4.15,0,0.033,0.0266,0,0.348,0.851,110.009,"hip hop, pop",1,0,1,0,0,0,0
Aloe Blacc,I Need A Dollar,15,243053,FALSE,2010,1,0,0.84,0.482,6,-7.116,0,0.0333,0.202,0,0.0873,0.957,95.498,R&B,0,0,0,0,0,1,0
B.o.B,Airplanes (feat. Hayley Williams of Paramore),45,180480,TRUE,2010,74,0,0.66,0.867,6,-4.285,0,0.116,0.11,0,0.0368,0.377,93.033,"hip hop, pop",1,0,1,0,0,0,0
Ludacris,My Chick Bad,12,216933,TRUE,2010,68,0,0.624,0.723,1,-6.782,1,0.378,0.172,0,0.483,0.757,84.789,"hip hop, pop",1,0,1,0,0,0,0
Nelly,Just A Dream,12,237800,FALSE,2010,73,0,0.531,0.752,1,-6.161,1,0.0305,0.0421,0,0.12,0.103,89.917,"hip hop, pop, R&B",1,0,1,0,0,1,0
Rihanna,What's My Name?,15,263173,FALSE,2010,66,0,0.692,0.786,2,-2.959,1,0.069,0.23,0,0.0797,0.583,100.025,"hip hop, pop, R&B",1,0,1,0,0,1,0
Shontelle,Impossible,10,226533,FALSE,2010,35,0,0.599,0.624,8,-3.631,1,0.0343,0.385,0,0.125,0.539,90.034,"pop, R&B",1,0,0,0,0,1,0
Take That,The Flood,9,289359,FALSE,2010,57,0,0.514,0.83,11,-6.077,0,0.044,0.0378,1.43E-06,0.122,0.138,100.631,pop,1,0,0,0,0,0,0
Trey Songz,Say Aah (feat. Fabolous),24,207546,FALSE,2009,54,0,0.724,0.87,1,-3.614,0,0.113,0.00453,0,0.833,0.81,93.01,"hip hop, pop, R&B",1,0,1,0,0,1,0
Jason Derulo,Whatcha Say,11,221253,FALSE,2010,70,0,0.615,0.711,11,-5.507,1,0.0779,0.0444,0,0.145,0.711,144.036,"hip hop, pop",1,0,1,0,0,0,0
Drake,Over,4,233560,TRUE,2010,57,0,0.325,0.848,7,-5.611,1,0.279,0.0109,0,0.124,0.433,100.093,"hip hop, pop, R&B",1,0,1,0,0,1,0
Example,Kickstarts,10,181826,FALSE,2010,63,0,0.61,0.836,5,-4.455,1,0.0573,0.00374,0,0.358,0.657,126.056,"pop, Dance/Electronic",1,0,0,1,0,0,0
Plan B,She Said,8,208853,FALSE,2010,62,0,0.72,0.538,3,-5.85,0,0.141,0.301,3.03E-06,0.144,0.815,147.007,Dance/Electronic,0,0,0,1,0,0,0
